,Factor,View,Group,R2
0,Factor1,CD3D-CD4+,single_group,25.822339141848516
1,Factor1,CD45-,single_group,8.024711245464522
2,Factor1,hC04_CD8_Temra-CX3CR1|RGS1,single_group,16.389830355771593
3,Factor1,hC05_CD8_Tem-GZMK,single_group,5.063856125962662
4,Factor1,hC06_CD8_Tem-CXCR5,single_group,29.84750931608501
5,Factor1,hC07_CD8_IEL-CD160,single_group,20.755095229217545
6,Factor1,hC08_CD8_Trm-CD6,single_group,29.306418191864324
7,Factor1,hC10_CD8_Trm-KLRB1,single_group,29.410609235308595
8,Factor1,hC11_CD8_Tex-LAYN,single_group,22.646544310979955
9,Factor1,hC12_CD8-HSPA1A,single_group,11.053759491055459
10,Factor1,hC14_CD8_MAIT-SLC4A10,single_group,32.69619680292371
11,Factor1,hC15_CD4_Tn-CCR7,single_group,0.20896271491525065
12,Factor1,hC16_CD4_Tcm-ANXA1,single_group,6.851910204344646
13,Factor1,hC18_CD4_Temra-GNLY|RGS1,single_group,15.05843098341293
14,Factor1,hC19_CD4_Tn-TCF7,single_group,14.963304954166457
15,Factor1,hC20_CD4_Tfh-CXCR5,single_group,18.583995744520987
16,Factor1,hC21_CD4_Tem-GZMK,single_group,19.857189056527393
17,Factor1,hC22_CD4_Trm-CXCR6,single_group,34.13902177939033
18,Factor1,hC24_CD4_Th1-CXCL13,single_group,20.437784577465013
19,Factor1,hC26_CD4_Tfr-IL10,single_group,15.96686588679379
20,Factor1,hC27_CD4_Treg-CTLA4,single_group,16.24585401369516
21,Factor1,hC28_CD4_HSPA1A,single_group,9.56860684263109
22,Factor1,hC29_CD4_MKI67,single_group,7.890555731011473
23,Factor1,hC30_NKT-FCGR3A,single_group,10.059800334242485
24,Factor1,hC32_gdT-TRDV2,single_group,22.56182096644669
25,Factor1,hC35_cDC1-CLEC9A,single_group,17.671981473309582
26,Factor1,hC37_cDC2-CD1C,single_group,9.001633044400382
27,Factor1,hC38_cDC2-C1QC,single_group,7.3273506172464975
28,Factor1,hC39_cDC2-FCN1,single_group,20.502262503879333
29,Factor1,hC40_cDC2-TIMP1,single_group,12.330244149668268
30,Factor1,hC41_cDC2-CD3E,single_group,20.409745329774896
31,Factor1,hC42_pDC-LILRA4,single_group,18.994220475358304
32,Factor1,hC46_Mono-CD14|FCGR3A,single_group,8.18029683692859
33,Factor1,hC48_Mph-FCN1,single_group,23.4886623230928
34,Factor1,hC49_Mph-NLRP3,single_group,7.128496358283087
35,Factor1,hC50_Mph-IL1B,single_group,6.158333854813702
36,Factor1,hC53_Mph-C1QC,single_group,6.465054223071753
37,Factor1,hC54_Mph-SPP1,single_group,21.07405944730679
38,Factor1,hC56_Mph-CD3E,single_group,20.44069536647851
39,Factor1,hC57_Mast-CPA3,single_group,14.375179761909251
40,Factor1,hC58_ILC3-KIT,single_group,8.14619245134124
41,Factor1,hC59_NK-FCGR3A,single_group,0.4552693021853793
42,Factor1,hC61_NK-FCGR3A|IFNG,single_group,10.322620542240735
43,Factor1,hC62_NK-DUSP4,single_group,9.922323708278514
44,Factor1,hC63_NK-CD160,single_group,29.45485823549765
45,Factor1,hC64_NK-CD160|IFNG,single_group,6.864172802331514
46,Factor1,hC67_NK-IL7R,single_group,12.035380366529115
47,Factor1,hC68_B-CD79B,single_group,8.768496576568886
48,Factor1,hC69_B-CD55,single_group,14.299543285622097
49,Factor1,hC70_B-GPR183,single_group,39.78111521771377
50,Factor1,hC71_B-HSPA1A,single_group,12.245668889069405
51,Factor1,hC72_B-IGLC3,single_group,1.1344416539231572
52,Factor1,hC74_B-MKI67,single_group,0.35274731725987163
53,Factor1,hC75_B-CD3E,single_group,10.641524323094131
54,Factor1,hC76_plasmaB-IGHA1,single_group,23.819797636738848
55,Factor1,hC77_plasmaB-IGHA1|IGLC2,single_group,8.174239583426058
56,Factor1,hC78_plasmaB-IGHG1,single_group,9.885615572085904
57,Factor2,CD3D-CD4+,single_group,6.902838452799919
58,Factor2,CD45-,single_group,1.027598922318429
59,Factor2,hC04_CD8_Temra-CX3CR1|RGS1,single_group,0.05694497833771406
60,Factor2,hC05_CD8_Tem-GZMK,single_group,3.4315732409300748
61,Factor2,hC06_CD8_Tem-CXCR5,single_group,0.11624725189307572
62,Factor2,hC07_CD8_IEL-CD160,single_group,8.96008816047934
63,Factor2,hC08_CD8_Trm-CD6,single_group,7.1214945844774835
64,Factor2,hC10_CD8_Trm-KLRB1,single_group,2.0208729986095797
65,Factor2,hC11_CD8_Tex-LAYN,single_group,5.729376538962927
66,Factor2,hC12_CD8-HSPA1A,single_group,3.972396843608905
67,Factor2,hC14_CD8_MAIT-SLC4A10,single_group,10.973661314522076
68,Factor2,hC15_CD4_Tn-CCR7,single_group,0.34059563241753965
69,Factor2,hC16_CD4_Tcm-ANXA1,single_group,4.220820765477318
70,Factor2,hC18_CD4_Temra-GNLY|RGS1,single_group,1.3327241909363186
71,Factor2,hC19_CD4_Tn-TCF7,single_group,9.704344941283072
72,Factor2,hC20_CD4_Tfh-CXCR5,single_group,1.839413413388169
73,Factor2,hC21_CD4_Tem-GZMK,single_group,0.1290428364973284
74,Factor2,hC22_CD4_Trm-CXCR6,single_group,6.149713742563023
75,Factor2,hC24_CD4_Th1-CXCL13,single_group,2.8842412126348305
76,Factor2,hC26_CD4_Tfr-IL10,single_group,2.602821685016299
77,Factor2,hC27_CD4_Treg-CTLA4,single_group,2.9949837174658156
78,Factor2,hC28_CD4_HSPA1A,single_group,6.632809234580661
79,Factor2,hC29_CD4_MKI67,single_group,0.7099992299581914
80,Factor2,hC30_NKT-FCGR3A,single_group,1.0494898379245
81,Factor2,hC32_gdT-TRDV2,single_group,17.464454738025047
82,Factor2,hC35_cDC1-CLEC9A,single_group,0.05845975743330456
83,Factor2,hC37_cDC2-CD1C,single_group,11.04000514919945
84,Factor2,hC38_cDC2-C1QC,single_group,21.000509966518642
85,Factor2,hC39_cDC2-FCN1,single_group,9.107164417998526
86,Factor2,hC40_cDC2-TIMP1,single_group,4.746386819574755
87,Factor2,hC41_cDC2-CD3E,single_group,6.893897159526096
88,Factor2,hC42_pDC-LILRA4,single_group,8.799424944581036
89,Factor2,hC46_Mono-CD14|FCGR3A,single_group,17.932205584937034
90,Factor2,hC48_Mph-FCN1,single_group,4.967153142467251
91,Factor2,hC49_Mph-NLRP3,single_group,3.7718883004387305
92,Factor2,hC50_Mph-IL1B,single_group,13.192771593336083
93,Factor2,hC53_Mph-C1QC,single_group,3.082194478704048
94,Factor2,hC54_Mph-SPP1,single_group,5.904799867490196
95,Factor2,hC56_Mph-CD3E,single_group,5.366315222138041
96,Factor2,hC57_Mast-CPA3,single_group,4.282582309976002
97,Factor2,hC58_ILC3-KIT,single_group,7.3845413275212435
98,Factor2,hC59_NK-FCGR3A,single_group,0.17569523080471772
