,bioplanet_83_MAP kinase pathway regulation through dual specificity phosphatases_View_T8,bioplanet_1328_T cell receptor/Ras pathway_View_cDC,bioplanet_301_Autoimmune thyroid disease_View_NK,bioplanet_333_Salmonella infection_View_NK,bioplanet_304_Graft-versus-host disease_View_B,bioplanet_167_Eukaryotic protein translation_View_cM,bioplanet_675_Type II interferon signaling (interferon-gamma)_View_B,bioplanet_898_Generation of second messenger molecules_View_NK,bioplanet_98_Activation of PKC through G-protein coupled receptors_View_B,bioplanet_78_Beta-arrestins in GPCR desensitization_View_cDC,bioplanet_686_Interferon alpha/beta signaling_View_T4,bioplanet_303_Allograft rejection_View_B,bioplanet_303_Allograft rejection_View_NK,bioplanet_333_Salmonella infection_View_cM,bioplanet_913_eIF4E release_View_cDC,bioplanet_686_Interferon alpha/beta signaling_View_T8,bioplanet_1510_Cross-presentation of particulate exogenous antigens (phagosomes)_View_ncM,bioplanet_537_Inhibitor of DNA binding (ID) signaling pathway_View_cDC,bioplanet_298_Type 1 diabetes mellitus_View_B,bioplanet_12_Granzyme A-mediated apoptosis pathway_View_T8,bioplanet_324_CTL mediated immune response against target cells_View_T8,bioplanet_640_Alpha-4 beta-7 integrin signaling_View_T4,bioplanet_686_Interferon alpha/beta signaling_View_NK,bioplanet_1698_Translation factors_View_T8,bioplanet_611_Interferon signaling_View_cDC,bioplanet_333_Salmonella infection_View_T8,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell_View_T4,bioplanet_304_Graft-versus-host disease_View_NK,bioplanet_166_eIF2 regulation_View_cM,bioplanet_1141_Diurnally regulated genes with circadian orthologs_View_cDC,bioplanet_564_PD-1 signaling_View_NK,bioplanet_921_CD28 co-stimulation_View_cDC,bioplanet_675_Type II interferon signaling (interferon-gamma)_View_ncM,bioplanet_686_Interferon alpha/beta signaling_View_ncM,bioplanet_464_Antigen processing and presentation_View_NK,bioplanet_776_Prostaglandin biosynthesis and regulation_View_T4,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell_View_T8,bioplanet_474_Intestinal immune network for IgA production_View_NK,bioplanet_669_TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)_View_NK,bioplanet_1287_eIF4E and p70 S6 kinase regulation_View_NK,bioplanet_1495_CHL1 interactions_View_T4,bioplanet_300_Asthma_View_B,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation_View_T8,bioplanet_926_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon_View_B,bioplanet_675_Type II interferon signaling (interferon-gamma)_View_cM,bioplanet_611_Interferon signaling_View_ncM,bioplanet_675_Type II interferon signaling (interferon-gamma)_View_cDC,bioplanet_304_Graft-versus-host disease_View_T8,bioplanet_1404_Cap-dependent translation initiation_View_T8,bioplanet_611_Interferon signaling_View_B,bioplanet_686_Interferon alpha/beta signaling_View_B,bioplanet_1404_Cap-dependent translation initiation_View_cDC,bioplanet_298_Type 1 diabetes mellitus_View_NK,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S_View_T8",bioplanet_1529_Endosomal/vacuolar pathway_View_cM,bioplanet_1529_Endosomal/vacuolar pathway_View_B,bioplanet_1510_Cross-presentation of particulate exogenous antigens (phagosomes)_View_cM,bioplanet_329_T helper cell surface molecules_View_T8,bioplanet_690_NF-kappaB activation_View_B,bioplanet_901_Costimulation by the CD28 family_View_NK,bioplanet_924_TRAF6-mediated induction of TAK1 complex_View_B,bioplanet_1764_Arachidonate epoxygenase/epoxide hydrolase pathway_View_B,bioplanet_8_PI3K subunit p85 role in regulation of actin organization and cell migration_View_cM,bioplanet_686_Interferon alpha/beta signaling_View_cM,bioplanet_1361_Interleukin-2/STAT5 pathway_View_NK,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell_View_NK,bioplanet_1614_Activation of the AP-1 family of transcription factors_View_NK,bioplanet_12_Granzyme A-mediated apoptosis pathway_View_NK,bioplanet_686_Interferon alpha/beta signaling_View_cDC,bioplanet_49_4-1BB-dependent immune response_View_cDC,bioplanet_1614_Activation of the AP-1 family of transcription factors_View_T8,bioplanet_87_Corticosteroids and cardioprotection_View_T4,bioplanet_243_Internal ribosome entry pathway_View_cM,bioplanet_167_Eukaryotic protein translation_View_NK,bioplanet_1168_Post-elongation processing of intronless pre-mRNA_View_B,bioplanet_322_B lymphocyte cell surface molecules_View_T8,bioplanet_1504_Cleavage of growing transcript in the termination region_View_B,bioplanet_83_MAP kinase pathway regulation through dual specificity phosphatases_View_NK,disease
4.0_HC-546_normal_na,0.10092582679038782,0.1531056266846361,0.12757447411837491,0.2403437779267203,0.20565079247046825,0.24233927523865392,0.05393052264808363,0.09007653783139709,0.07106595321055251,0.06497641509433963,0.110160024947479,0.2269857566625859,0.17238799724657636,0.3596841001813237,0.1032621855345912,0.11738240263650963,0.24707846320346322,0.08808549528301887,0.1983327120978851,0.10516912027123483,0.3111883956514577,0.0710045751633987,0.14357296204758713,0.20182037473233402,0.21050263926325247,0.1819545413990007,0.13181998424369748,0.17568704636108023,0.08302147037006512,0.180944919418239,0.08297087693505145,0.12840558429701765,0.1326137012987013,0.19294860998376623,0.1605581703240327,0.06296470588235294,0.1926043897216274,0.03837458109919571,0.24572260388739947,0.07943027008241485,0.014178545168067226,0.19976848141695702,0.22620474386427278,0.2279008130081301,0.1206835630099728,0.20468791228612657,0.12315132075471699,0.12002249699691858,0.695488545363879,0.13989810695619712,0.0909451287565331,0.7577081610235202,0.1528705810836087,0.622986015627935,0.5885617507806991,0.4127591947348045,0.33009850974614685,0.2245506506341624,0.07078070557491288,0.07295937593089068,0.22197613240418118,0.07373307615729219,0.3191453847461469,0.1594944327969175,0.09855460232350312,0.2602764745308311,0.12685764075067024,0.2630057529043789,0.16993904775943397,0.0942623820754717,0.1249571199143469,0.11341210317460317,0.20981916202564435,0.18353043683961517,0.06502391683078322,0.09803124391668289,0.0894949862247792,0.10969481680071493,0
4.0_1132_SLE_managed,0.06322588522588522,0.1325738095238095,0.12455446213942307,0.218748046875,0.21520851054595955,0.23278090913517727,0.06789978647686833,0.09036317274305555,0.05041039654295882,0.06605462962962964,0.1413348255018248,0.23906090699240168,0.16644826858108108,0.3661012520695364,0.0883037037037037,0.14528277386675825,0.23898958333333334,0.08712465277777777,0.2076117686005131,0.07642193223443224,0.30137785291631447,0.09356684238983509,0.16251483154296875,0.2015809065934066,0.21507761243386245,0.18911721611721613,0.09351406630170316,0.1678975800304878,0.08702154199277544,0.15622916666666664,0.09595047883064516,0.12133691756272404,0.14160956140350878,0.22450751553362572,0.15194584297839506,0.07816362530413626,0.09165281593406592,0.044923177083333335,0.234526611328125,0.07841623263888889,0.034861998175182485,0.19719721233689205,0.22800866441251055,0.2166300118623962,0.13933616721854306,0.20975131404901143,0.13138133333333332,0.1221072433663897,0.6957080009032064,0.14960922936790375,0.1217076012010676,0.7283402587519026,0.14684820130813953,0.6127543136687873,0.6164612766740251,0.47300365757216295,0.34281513865894037,0.22527948013524937,0.04426838671411625,0.07209689670138889,0.20698374851720047,0.07304206914082359,0.32283719215645695,0.1942478399213576,0.09677200520833333,0.16460400390625,0.043587890625,0.2490107421875,0.1977831597222222,0.05029611111111111,0.05769807692307692,0.13345535955663693,0.21212092005676442,0.14673483455882352,0.06469994584558256,0.09740584415584416,0.09449042042539105,0.06583506944444445,1
3.0_FLARE006_SLE_flare,0.06947689051264208,0.16112244897959183,0.14108711538461538,0.22209083333333332,0.27872001417350734,0.24584075819944232,0.08216944309927361,0.12380055555555555,0.07979626426841922,0.04896230158730158,0.14925062749335108,0.3105247856815654,0.1911835135135135,0.37273539785553045,0.08739484126984128,0.15600492970381,0.31633088235294116,0.08032812500000001,0.27098402218593387,0.15911823677800974,0.3859118757025855,0.1273195330969267,0.156560625,0.23343284446764093,0.22905966553287982,0.2679274747738344,0.14000073138297872,0.19363292682926825,0.08744372050071825,0.17196254960317459,0.12522870967741936,0.13680645161290322,0.15302779411764705,0.21401401654411764,0.16913765432098768,0.07906617192862045,0.19728438152400835,0.045642916666666665,0.263149375,0.0929711111111111,0.03571113696808511,0.2555986481033091,0.3187908503292115,0.25131105730427766,0.12705385440180586,0.22166789215686275,0.14524309523809525,0.1595843474718672,0.7197431685589271,0.1789100332929782,0.13711377307808717,0.7688837247227658,0.1665279069767442,0.638567689448046,0.6188337722598445,0.5874558111380145,0.38686766365688485,0.32891661313634174,0.0634725585149314,0.0937063888888889,0.23816569814366423,0.08654557246627465,0.33390219384875847,0.15982837630502258,0.12176999999999999,0.21565125,0.079946,0.3120866666666667,0.18750316220238095,0.08603630952380953,0.10548930062630481,0.15630118203309692,0.2192482666881651,0.21025294117647056,0.09191014843667754,0.167994116530651,0.13324186328059012,0.05752000000000001,1
4.0_1110_SLE_managed,0.13848188630490954,0.19232477678571427,0.1295850222890317,0.23262938005390835,0.2616204473367604,0.21861168217286914,0.06375170403587443,0.0883581910751722,0.08280333119795004,0.06110091145833334,0.11493865387872629,0.29021106532541513,0.174071701755664,0.3230094777494331,0.10478255208333333,0.12383733648255815,0.23472242647058825,0.08387646484375,0.2518218010220044,0.18773777131782945,0.3927633273703041,0.09954388738331828,0.13333462137803234,0.1812425534883721,0.2110775204613095,0.2324656589147287,0.16746138211382114,0.18177222076129118,0.06686203231292517,0.19196044921875,0.08912931484218764,0.12756199596774193,0.1266970588235294,0.1815689338235294,0.15794052610562045,0.08060877261998427,0.23585113372093025,0.043218497304582215,0.2538332631401617,0.07953384246780473,0.03583714430894309,0.24552739162929746,0.27980629695885506,0.2452618086696562,0.09606380527210884,0.20583715569561156,0.11272734374999999,0.16340796369824162,0.6822826282255495,0.15955661434977578,0.11158520179372196,0.7596421232876712,0.15437083934056292,0.6106383394532844,0.5553762282690854,0.5141413801694071,0.303608524659864,0.2925796601073345,0.08215059790732437,0.07321203953279425,0.238240956651719,0.10003331197950031,0.2834821162840136,0.11827498870642006,0.10641383647798743,0.2450911388140162,0.10962911051212938,0.2616535826594789,0.1527386474609375,0.06959062499999999,0.10986327906976745,0.14783634447455588,0.18762894800777455,0.1771943871888378,0.08880751608500684,0.1425718181818182,0.11705780060485974,0.1205222371967655,1
2.0_1479_SLE_managed,0.07423674768518519,0.15361379040667364,0.1442490931598342,0.2601493887225549,0.2722932006442706,0.2729540292099373,0.0720808176100629,0.11370825016633399,0.08717318059299191,0.07435264598540146,0.12331712598425197,0.3047985296617372,0.19490789367211525,0.4020871932834269,0.09154835766423358,0.12868251953125,0.25787130376344086,0.08220392335766423,0.2648321083808688,0.11677013888888889,0.3503017628205128,0.11896876640419947,0.13954862930389222,0.2324550625,0.20017907108098715,0.23207122395833332,0.1023939468503937,0.19880568132028628,0.09355788861793228,0.17188530261557178,0.11576991983774387,0.1322627148575465,0.12199129032258063,0.17957241263440862,0.175984179788571,0.08364292608585218,0.13675335286458334,0.05407009418662675,0.26130861714071857,0.0872295963628299,0.031224015748031495,0.2565365041928721,0.2818238581730769,0.24878731656184488,0.1046074360573924,0.20733165322580646,0.1022784306569343,0.1473450457317073,0.7270801619577625,0.17018667640011978,0.12384678409984277,0.7678989601039896,0.17248750174070462,0.6486958698830408,0.6221421120121994,0.5528625960866527,0.3753252105427324,0.28896648637820516,0.07816365303983229,0.08865312084165004,0.23810733752620544,0.11123000898472596,0.35874244580474113,0.13427083495789144,0.11455316866267466,0.20076590568862276,0.07859820359281437,0.27594660678642713,0.13846527144160584,0.0942286496350365,0.07877171875000001,0.15305384951881015,0.24341297567061757,0.1991619408242339,0.08613986874487285,0.13624280303030303,0.12989737823606845,0.08013048902195609,1
2.0_1334_SLE_managed,0.10485702330372088,0.1606468253968254,0.1372142181588903,0.24223258196721312,0.24222362825015303,0.22807294957411925,0.06711138044914135,0.10110325591985428,0.07850278354406492,0.06921399176954732,0.12217432341507176,0.268473624549252,0.18586486486486486,0.3316281157942443,0.09590534979423869,0.12620817641946697,0.0,0.09859452160493828,0.23438809099566832,0.1767753959057551,0.3746928202157055,0.1233975279106858,0.1468279969262295,0.18215811123986095,0.20340514770723103,0.22013214561606798,0.1378748504784689,0.184937225109956,0.07183120635313021,0.17841544495884773,0.09711144896879957,0.1288430904022302,0.0,0.0,0.1697688221007893,0.0882007061274888,0.2253826404982619,0.052856045081967215,0.27084426229508196,0.09141438979963569,0.04411520633971292,0.21107769154557462,0.2794976602192709,0.24689609202994275,0.09981136981645139,0.0,0.11671166666666666,0.16853359664245543,0.6681723201955586,0.15486964816474807,0.11136201700792601,0.7567006172839505,0.1656481128478841,0.5960147435506494,0.581287691668555,0.5382180206957288,0.2878217836505778,0.28056685087797484,0.07556770145310436,0.08387915528233152,0.24068399383531483,0.07920150028307228,0.29337089989802856,0.12786343526937458,0.10769726775956286,0.2863406762295082,0.15214467213114755,0.25404439890710384,0.15246768904320987,0.07810447530864198,0.1121630069524913,0.15257795055821372,0.19907140429251238,0.19424469623915142,0.06804115214519556,0.1543405140629938,0.10973631762465054,0.15280418943533697,1
4.0_1333_SLE_managed,0.10111066147082334,0.1757309718969555,0.1320601476123265,0.20883632772680938,0.23765623114711712,0.2086726498889711,0.05539904593639576,0.10051361281005777,0.07352082281675922,0.05876775956284153,0.11056809984561328,0.26243871167987776,0.1778162244813621,0.2948290772267456,0.13001024590163934,0.11751511915467627,0.20612284482758622,0.07786398565573772,0.22908644917413096,0.18673542416067146,0.3590967072495849,0.09889033219761499,0.12393753583715596,0.17189631294964028,0.1900207357533177,0.18894248351318943,0.1153514959540034,0.18093152830610876,0.0641089428706009,0.18589890710382512,0.10410626911314984,0.13267821258593337,0.10033241379310345,0.15386243938577587,0.1520066919620946,0.07224198356872012,0.186589871852518,0.0498588493883792,0.2422842603211009,0.08387844036697248,0.0285429354770017,0.22560488810365137,0.21905281543995572,0.22667555948174326,0.07849168393782384,0.17726908866995073,0.09355475409836067,0.1642307532023162,0.6507653370454322,0.1480946018425038,0.09611424746024735,0.7570148776105996,0.157569803001209,0.5874853275274518,0.5216058475203552,0.4568737730663526,0.2542324898223538,0.2247071458218041,0.07299764428739694,0.08133784616038056,0.22359640753828033,0.07253722867238768,0.26121672603626944,0.10231857478256848,0.08756982670744139,0.20812108180428135,0.09014816513761467,0.25037353465851175,0.13361782786885246,0.07075184426229508,0.08332171762589928,0.13561927408669316,0.17453000422967116,0.1779805720453319,0.06591749884774926,0.14490716971877043,0.09428065165584681,0.09678474345905538,1
2.0_IGTB670_normal_na,0.1144751712328767,0.18598325892857143,0.13500265009380863,0.2648646341463415,0.23770586527293847,0.25390616698292223,0.069768170995671,0.10352615176151761,0.11489579468150897,0.07091536458333333,0.1212332039614561,0.2633904293904294,0.18152659854976927,0.33711505376344086,0.08767447916666667,0.12477591235017123,0.2393196614583333,0.089193359375,0.23003844508204974,0.09303620861872146,0.32120696127502635,0.08496027638988025,0.14527017911585366,0.24107813356164381,0.20160407366071428,0.19825638555936073,0.17447179470021412,0.18800654372397382,0.08127478005865102,0.19749837239583334,0.10707494099134539,0.14908770161290325,0.12602432291666668,0.17253535970052084,0.17140266485998196,0.05766370507241371,0.20798410744863013,0.05386349085365853,0.2693155487804878,0.10932818428184282,0.013026119735902926,0.214644715007215,0.2501556572708114,0.24222683982683982,0.1052313440860215,0.19701836867559522,0.11769375000000001,0.1257219240728366,0.7326227364421092,0.15640398564728922,0.1123966112012987,0.7748139982876713,0.1619689449801475,0.660677383741889,0.5834359617682198,0.5096099687349688,0.30735376344086024,0.24106276343519495,0.11343515512265512,0.09122410230352304,0.23454300144300144,0.08119465058750773,0.30454647177419353,0.12262429435483871,0.11682776422764228,0.25429253048780487,0.1255148780487805,0.26571453252032523,0.14163232421875,0.08908203125,0.14946434075342466,0.13483922198429693,0.23770122887864822,0.23004856527977044,0.07917967720685112,0.11196034402241595,0.12307361824222289,0.10476571815718158,0
2.0_1368_SLE_managed,0.08042444444444445,0.1499997553816047,0.130581579345851,0.26919969378827646,0.2416100699426112,0.2074379012667014,0.06682155637254902,0.08428395669291337,0.07560740546218488,0.0597240296803653,0.12232895764802632,0.2670188626126126,0.17638245726041002,0.30741426991150445,0.07144463470319634,0.12601348684210525,0.22542119565217392,0.08170462328767124,0.2322487745098039,0.15464855263157895,0.371967004048583,0.09937920321637427,0.1367811064632546,0.18019393684210525,0.20665949119373778,0.2145580701754386,0.1444756167763158,0.17929228282440304,0.06227906275140788,0.16775963184931508,0.08476820336974007,0.12964516129032258,0.1332532850241546,0.18685452521135265,0.15816185476815398,0.07600562393887945,0.21237375,0.03863782261592301,0.2586087598425197,0.0809533391659376,0.028491694078947367,0.22875674019607845,0.2580395546558704,0.24347263071895425,0.10817713864306784,0.20177562111801242,0.11336294520547945,0.15434007702182287,0.6671994592645999,0.15500640464519141,0.10466208065257354,0.7452436198161005,0.15699980162363425,0.610037894736842,0.5747944116683055,0.487760348583878,0.2861531157817109,0.2782142510121457,0.07202052696078431,0.07261564960629921,0.2373279411764706,0.07763375350140056,0.2715308351769911,0.13399121957964602,0.10204162292213474,0.2725352690288714,0.13434507874015747,0.25498113517060367,0.1509986087328767,0.09205890410958904,0.11255636842105263,0.14243921783625732,0.18264485882848716,0.1826343986413463,0.06859886508951407,0.14523224880382776,0.10776332364341086,0.09023884514435696,1
2.0_IGTB1506_normal_na,0.09503344208809135,0.1539579613095238,0.12462644057206333,0.22800473826714804,0.24075851529712305,0.22883647657536296,0.06111142144638405,0.08365420677898114,0.09509351620947631,0.08023784722222223,0.11059631769975288,0.26657154411269124,0.16739381890916188,0.30572662213740454,0.07921614583333333,0.11547714238376837,0.21496536458333332,0.08083821614583332,0.231850838021226,0.10315348015225666,0.3106019889572092,0.08195249862712796,0.13203813176895307,0.20671658238172919,0.19027359250992062,0.1843223898858075,0.13881002883031301,0.17096339262129084,0.07094673837612768,0.14473404947916665,0.08617107255153139,0.12280107526881721,0.107006,0.16021722005208336,0.15724437313366316,0.05893203619067864,0.18303435970636214,0.0395241802045728,0.2526194156137184,0.08402416766947453,0.017320891680395387,0.22112680798004988,0.22705919814280337,0.22721334164588528,0.0900123155216285,0.18580215773809525,0.10507593750000001,0.12740437870528787,0.7028635835437664,0.15013221410758817,0.10477642807044887,0.7485572203196348,0.14952554361514564,0.6331820425860737,0.5739267741023466,0.5026380576336936,0.28719155534351143,0.23803447734973018,0.09466541978387365,0.07224672833935018,0.21941932668329178,0.06923031706448166,0.2711702449109415,0.11347361044847329,0.10224238868832732,0.22693005415162457,0.10839602888086643,0.22325172984356198,0.12967976888020835,0.07835677083333334,0.11128209624796084,0.11493044114955155,0.20216484914576519,0.19299787640688043,0.0672471538544942,0.09886174551386623,0.10196810299831816,0.0935070196550341,0
