,bioplanet_1141_Diurnally regulated genes with circadian orthologs,"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",bioplanet_1168_Post-elongation processing of intronless pre-mRNA,bioplanet_1287_eIF4E and p70 S6 kinase regulation,bioplanet_12_Granzyme A-mediated apoptosis pathway,bioplanet_1328_T cell receptor/Ras pathway,bioplanet_1361_Interleukin-2/STAT5 pathway,bioplanet_1404_Cap-dependent translation initiation,bioplanet_1495_CHL1 interactions,bioplanet_1504_Cleavage of growing transcript in the termination region,bioplanet_1510_Cross-presentation of particulate exogenous antigens (phagosomes),bioplanet_1529_Endosomal/vacuolar pathway,bioplanet_1614_Activation of the AP-1 family of transcription factors,bioplanet_166_eIF2 regulation,bioplanet_167_Eukaryotic protein translation,bioplanet_1698_Translation factors,bioplanet_1764_Arachidonate epoxygenase/epoxide hydrolase pathway,bioplanet_243_Internal ribosome entry pathway,bioplanet_298_Type 1 diabetes mellitus,bioplanet_29_TSP1-induced apoptosis in microvascular endothelial cell,bioplanet_300_Asthma,bioplanet_301_Autoimmune thyroid disease,bioplanet_303_Allograft rejection,bioplanet_304_Graft-versus-host disease,bioplanet_322_B lymphocyte cell surface molecules,bioplanet_324_CTL mediated immune response against target cells,bioplanet_329_T helper cell surface molecules,bioplanet_333_Salmonella infection,bioplanet_464_Antigen processing and presentation,bioplanet_474_Intestinal immune network for IgA production,bioplanet_49_4-1BB-dependent immune response,bioplanet_50_Lck and Fyn tyrosine kinases in initiation of T cell receptor activation,bioplanet_537_Inhibitor of DNA binding (ID) signaling pathway,bioplanet_564_PD-1 signaling,bioplanet_611_Interferon signaling,bioplanet_640_Alpha-4 beta-7 integrin signaling,bioplanet_669_TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),bioplanet_675_Type II interferon signaling (interferon-gamma),bioplanet_686_Interferon alpha/beta signaling,bioplanet_776_Prostaglandin biosynthesis and regulation,bioplanet_78_Beta-arrestins in GPCR desensitization,bioplanet_83_MAP kinase pathway regulation through dual specificity phosphatases,bioplanet_87_Corticosteroids and cardioprotection,bioplanet_898_Generation of second messenger molecules,bioplanet_8_PI3K subunit p85 role in regulation of actin organization and cell migration,bioplanet_901_Costimulation by the CD28 family,bioplanet_913_eIF4E release,bioplanet_921_CD28 co-stimulation,bioplanet_924_TRAF6-mediated induction of TAK1 complex,bioplanet_926_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,bioplanet_98_Activation of PKC through G-protein coupled receptors,disease
GSM1509610,0.0349750714586159,0.3139800094256949,0.2202257352049757,-0.2532454103864309,0.188216550289289,-0.0382157509379477,0.4296328648814246,0.3996411141705629,0.1612921406689205,0.4527895120174212,-0.5705365375016207,-0.1716981611173075,-0.4849921834483378,0.5008945574465443,0.3717668792851503,0.2786070168285725,0.383224414192969,-0.1974421943483371,0.0556687162302505,-0.4165214525259465,-0.089791419869443,0.0949482415178357,0.1821890745207465,0.110042319178377,0.038207337402735,0.4460154049938265,0.4351268297521826,-0.5913816890071831,0.1809899120839619,0.1386113969901013,-0.3813880484020031,0.4870944076016324,0.5303352673678022,0.2870324486893901,0.0331295429235391,-0.0835048452154627,0.0317105612843303,0.0778978667254302,0.1109846981276912,-0.1622739972969381,-0.2804283818467106,-0.5182601073544351,0.1940149315517637,0.3475362659952274,-0.4567061383069946,0.2172697944334043,0.071266712736958,0.2589324002742402,-0.0659618057993206,0.3060166944775721,-0.4939541041238512,1
GSM1509611,0.2281879222745502,0.3757847935439287,0.4228685763489608,0.0973022099032105,0.0687015574981999,0.0889911853940152,0.4899807963160923,0.3916058640914522,-0.0500033011727332,0.5538995104635952,-0.1343264678109401,0.2132588885044881,-0.1736104797594814,0.488169735779057,0.4677118687296127,0.2540825893848971,-0.1650454361506219,0.3174164707243879,0.0848170011629267,-0.142264131717116,-0.1733611284064682,-0.1354709154510956,0.1461505093468797,0.1735095577871937,0.2778101166624743,0.332486858984088,0.189430372154171,-0.3727579513957456,0.2285818826355174,0.1117786537092812,-0.2198437114597925,0.4620021394460315,0.1434468929452989,0.2125460856398511,0.1343440894988242,0.103820820759873,0.2226577694986799,0.0729331887653879,-0.0097831676619056,-0.0438960866948583,-0.1817849778412618,-0.1478747105850084,0.294897157181584,0.3403705955471418,0.1359824549266273,0.2638508927047931,-0.0624897650482934,0.4334668059262498,0.2401376253225921,0.4176395436977371,-0.2791618218504987,1
GSM1509612,0.2502872248997954,0.3870957748183645,0.0488688093658035,0.3704302233896461,0.0316784880384698,0.4932584871171993,0.4377592221094369,0.3694973704132148,0.0708296219165473,0.3272905499319825,0.123279891660411,-0.3119324930928776,0.2166917425096378,0.404842092228204,0.413281464994304,0.0508567476379511,-0.3130432714607993,0.5873463980570965,-0.1918564580209525,0.0717070227032596,-0.3460280005566374,-0.3394808950809156,-0.2398329763697302,-0.1424914538778783,0.376262966609005,0.0237699903871004,0.2665868195591662,0.3384128684449865,-0.1023478242851305,-0.1333198277012082,0.1323865739324128,0.4829221813757637,0.3171566865447964,0.1162848587370701,-0.1178240412971572,0.583119571400417,0.0358494737548712,-0.3260878985793423,-0.3560401076062834,-0.2958399383694791,-0.0714332904401628,0.211044161211751,0.2089450687923375,0.239743264163045,0.4424755639991842,0.2622235943013129,-0.3993403502760563,0.3125439159341257,0.205342108063136,0.011872670731439,0.6498937021088744,1
GSM1509613,0.1693868134131013,-0.6137203959633521,-0.4569806221168159,0.1464210944825072,-0.1880896136257069,0.3018721276399473,-0.0854350750061382,-0.6723041427837149,0.0671954020628839,-0.4065255100468576,0.2600394277349073,-0.476991903258442,0.5163722839957524,-0.4787681518586094,-0.5421602775892476,-0.5441075108664617,-0.56485018213977,-0.2115386860822223,-0.37750157212903,-0.0832185795715862,-0.4575544280585978,-0.3563243528739143,-0.3973883010441937,-0.4123372351537591,-0.0394287526034473,-0.2429419352604048,-0.2408425018130494,0.6079053141296042,-0.3108240718986653,-0.4328535441429154,0.1659287308225591,-0.5541880276210063,-0.3588023560581845,-0.354507427272524,-0.0642738866644345,0.0290722522128175,-0.0847527248941663,0.1537729686536943,-0.1556878535904825,0.219747157667294,-0.3297859798443278,0.2609300353628849,0.1536291894242754,-0.3811362669322298,0.5003202944171607,-0.3992067084250411,-0.6476245190279554,-0.3959401174189045,-0.103372352043878,-0.2840025825362032,0.1203815314310747,1
GSM1509614,-0.087155935660045,-0.4584677787234132,-0.548414765358614,-0.1241772367268935,-0.5472365521855445,-0.5035692622151424,0.0911571067351954,-0.4374065179931342,0.2692729925784397,-0.550213187959108,0.2681762266073855,0.5290186455640604,-0.1531971053304804,-0.4900688099771626,-0.4092072715890903,-0.4813480644385928,-0.5019083370894626,-0.2162947539866719,0.0429298042452522,-0.0878948058189331,0.2770847945939989,0.310034809778798,0.0402565552023967,-0.145769566056206,0.0557668261129854,-0.2430592906223917,-0.4657435991379444,-0.261982784987084,-0.3720578461398569,-0.0363817057820962,-0.1153228074714216,-0.5236466409788716,-0.4332091434374941,-0.432229845192294,0.0734065087811955,-0.1506970896732287,-0.1292668916031149,0.3106887140993416,0.4233239747406381,0.103468151559806,-0.1062095161977233,-0.1103039053726895,-0.1579273529646209,-0.1024758042726893,0.2447583893494246,-0.2988733587771461,-0.4507228364245561,-0.1289361396030398,-0.3175885738690754,-0.4092613222652326,-0.4004826094918292,1
GSM1509615,0.2716105313745643,-0.3072430127413247,0.4304069619612266,0.1171015934061551,0.2266065783291733,0.295574733396983,0.3268183783981515,-0.392830881004534,-0.1988293466238609,0.4736149241954874,0.4704842076922811,0.0911908592763074,0.0695632502647106,0.3589111989541476,0.2382913108298665,-0.0834317139290564,0.546981397161918,0.5747050892246063,-0.1237782230324129,0.409865781583716,-0.2602150279126972,-0.376628030672502,-0.1678960888736586,-0.1407831604257033,-0.1252178438677325,-0.0262605959975961,-0.172487532878999,0.5711420521851045,0.2610729235738876,-0.1298867350492685,0.0991461586213947,-0.3419900202944498,0.1006907683285143,-0.0636412542929544,0.3364996974433782,0.2998607161244266,-0.0772193390081054,0.4407553453904377,0.2972914768916966,0.0413084100507806,0.0688019531844112,-0.0092619883536686,0.0555909270892037,-0.2642197740939951,0.4043999601058474,0.1155539709867238,0.1978770803302313,0.1820141160890122,0.6418318101192432,0.5982441979120119,0.2551186636900872,1
GSM1509616,-0.3392918097939267,-0.5084015977004307,-0.4088001685711473,-0.4307170943159127,-0.4985902774476581,-0.4655600788313108,-0.2678533219874778,-0.558257280986761,0.2596850987537235,-0.4388073136836957,-0.1770564850814938,0.3172108074276795,0.3414057477973791,-0.457106264550092,-0.589993089239969,-0.5528550251886742,0.050921455243348,-0.5498846351582896,0.1596983961564792,-0.2200367971984988,-0.0180221753143641,0.3701433745024556,-0.0632811793694922,-0.1990449644228203,0.2593298102381811,-0.2000469151308904,0.0242337427205968,-0.4980341199496838,-0.3985129440235097,0.006168016789045,-0.0136573691674928,-0.280665315513497,-0.4431855362657131,0.0643333101895169,0.0999093020959731,0.1946385459835883,-0.2848366268493105,0.3244099108260784,0.4331261793471838,0.1648688754384711,-0.382890599426091,0.2046509219271094,-0.295924311317704,-0.1800274711011759,-0.35379188004124,-0.2973077004395795,-0.7789012007483024,-0.2860867599516726,-0.4163152233240974,-0.5080686815657962,-0.0246048898392093,1
GSM1509617,-0.0230351568075292,-0.4465380815017067,-0.3639493474959307,-0.2472211464494694,-0.6242402455820748,-0.2254309395525031,-0.1377068914362892,-0.4158695953405267,-0.1963884165649888,-0.4247627947604384,0.2386333385829528,0.6067957304910406,0.4142659125435918,-0.4291888914915354,-0.4233508275214347,-0.3727370768160711,-0.3423943315359533,-0.4188778691279551,0.3516091240790081,0.3489481960508631,-0.0237675150591271,0.2389892473741502,0.3026681483944129,0.1518254018260574,0.300691469708888,0.0160383877741776,-0.1703949543495979,-0.1829044514030132,-0.0682753029818389,0.2924294117416095,0.215404908185668,-0.0386921828673026,-0.3969518002136566,0.283468231818364,0.3307181033671554,0.4050493361998299,0.0041296104979139,0.3809649248871891,0.5080665853037626,0.4036753319684529,-0.2204039760021598,0.2380848106298231,-0.2860428019985591,0.1939968128421515,-0.1841279696057688,0.0439717552561334,-0.1417398549769035,-0.0471788826920483,-0.0425726643762429,0.5154729819650743,0.2808107176737355,1
GSM1509618,-0.2720191174399916,-0.4182745279107274,-0.5511721386533698,0.0094908651161305,-0.1584997101509302,-0.0817843595550781,0.0339479501108605,-0.4343049022783092,0.1019629735644941,-0.4095832049381338,-0.0557947873119502,0.6173001310615539,0.1596298842203324,-0.4244675278809806,-0.5181818472271541,-0.4523648901999926,-0.4477166411951371,-0.5197725078761477,0.1544090890434732,-0.0261912441389283,-0.1753323535433036,0.1895974909779662,0.0464065642716491,0.1666624663799973,0.1543724131518867,-0.2356977867838569,-0.3954634499745204,-0.0785152590468559,-0.2625953347277449,-0.243878089833442,-0.0770826041306768,-0.3512766370984201,-0.42819134835582,-0.2845858093857777,0.0423294787272458,-0.2535541028001423,-0.2871270767947343,0.0910229161140069,0.2836936248332284,-0.0676625154337673,-0.1858282427850162,0.1517581102129964,-0.1435850247048118,-0.2132127673110326,-0.035587095783459,-0.3742208282941122,-0.4345869916568392,-0.2093356037372635,-0.1644226136572633,-0.4289440538710982,-0.1476555783289793,1
GSM1509619,0.0751961570912301,0.4282007303390104,0.2016364271478361,-0.0826460751390586,0.0914481213482611,0.2909329254969907,-0.1207791972902866,0.4459528241678097,0.4374583229410876,0.3974668184189654,0.0079070377003314,-0.0255968602593673,0.3212412609017733,-0.1415878550672681,0.086194838484259,0.186358831512314,0.1867034013212711,-0.1236965300680159,0.2128997767119115,0.0087928780495942,0.267704294382963,0.4224264832008857,0.2645039610328306,0.3309402235553439,0.2194444215506584,0.1484229051454365,0.296180966470126,0.2506255085966193,0.1632714665237538,0.077501909624296,-0.0405831815231902,0.429287852169787,-0.0390891843507375,0.2351694088821476,-0.1616334735555104,0.0419237509792766,-0.1226621220066973,-0.3890412433129604,-0.2279131975470478,-0.1174458372821243,-0.1750996538713875,0.0144167063509456,0.1800844468452531,0.3342916514641482,0.1039168946293161,-0.0557573451127792,-0.0887641606482197,-0.0707442865723011,0.0628606885788443,-0.1890309723281372,-0.3783429485860723,1
