"","Tumor_cE01_(StemTA-like)_qval","Tumor_cE03_(StemTA-like_prolif)_qval","Tumor_cE05_(Enterocyte_2)_qval","Tumor_cE02_(StemTA-likeImmature_Goblet)_qval","Tumor_cE06_(Immature_Goblet)_qval"
"bioplanet_1471_Translation",6.89154648673416,8.16365860756898,2.26334212484057,8.50166375334569,5.17634218757402
"bioplanet_906_Disease",6.89154648673416,8.41720157179205,4.12581959490148,8.50166375334569,5.00281608039784
"bioplanet_1036_Influenza viral RNA transcription and replication",6.80641275509185,7.31652835393823,3.03766536355106,8.16365860756898,5.52201319044959
"bioplanet_379_Metabolism",6.80641275509185,7.82520279408642,4.74151411741105,8.92361884977938,5.9519440422814
"bioplanet_816_Protein metabolism",6.72122894328309,7.74051106533288,3.22331192699552,8.50166375334569,5.08964182642378
"bioplanet_985_Influenza infection",6.72122894328309,7.65578603639038,2.6582603490473,8.07908924949751,5.86612606079381
"bioplanet_905_Immune system",6.63599301271684,7.65578603639038,4.21439023064018,8.58610122386153,5.52201319044959
"bioplanet_1442_TGF-beta regulation of extracellular matrix",6.55070281348857,7.4862312816593,4.30273421159088,7.99449082824503,5.26292365391609
"GAVISH_3CA_MALIGNANT_METAPROGRAM_30_PDAC_CLASSICAL",6.46535607667128,7.57102652226163,4.03700673556826,8.33271388120148,6.55070281348857
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EPI_2",6.46535607667128,7.40139901363103,3.94793460398317,7.99449082824503,5.17634218757402
"bioplanet_1164_Gene expression",6.46535607667128,7.99449082824503,3.85858448754514,7.82520279408642,5.08964182642378
"bioplanet_1421_Interleukin-2 signaling pathway",6.29448326855961,7.65578603639038,3.13077459853555,7.82520279408642,5.43575369515348
"bioplanet_1755_Cytoplasmic ribosomal proteins",6.29448326855961,7.40139901363103,2.16117219113697,8.24819984927707,4.91585797723938
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_INTERFERON_MHC",6.12335372019945,6.72122894328309,3.13077459853555,7.99449082824503,5.43575369515348
"bioplanet_894_Adaptive immune system",6.12335372019945,7.06167134946605,3.49795873474214,7.99449082824503,5.34939227464052
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_1",6.0376854680317,7.57102652226163,3.67896581763017,8.58610122386153,5.9519440422814
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_SECRETED",5.86612606079381,6.72122894328309,3.58864942322419,7.90986235450636,5.78022793055288
"bioplanet_1404_Cap-dependent translation initiation",5.86612606079381,7.06167134946605,0.763890715865263,7.74051106533288,4.3908657864606
"HALLMARK_ALLOGRAFT_REJECTION",5.78022793055288,7.06167134946605,3.7689357967265,7.90986235450636,5.86612606079381
"bioplanet_1413_T cell receptor regulation of apoptosis",5.78022793055288,7.57102652226163,2.94392816314568,8.41720157179205,5.9519440422814
"bioplanet_596_Immune system signaling by interferons, interleukins, prolactin, and growth hormones",5.78022793055288,7.31652835393823,3.40686272261997,7.90986235450636,4.82876001639103
"GAVISH_3CA_MALIGNANT_METAPROGRAM_23_SECRETED_2",5.69424583091407,6.46535607667128,2.6582603490473,7.65578603639038,6.20895198537489
"bioplanet_611_Interferon signaling",5.69424583091407,6.89154648673416,2.6582603490473,8.07908924949751,4.82876001639103
"bioplanet_1452_Antigen processing: cross presentation",5.60817569519754,5.86612606079381,2.36395730752721,6.89154648673416,4.3908657864606
"GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_COAGULATION",5.52201319044959,5.26292365391609,2.16117219113697,6.20895198537489,3.58864942322419
"bioplanet_1414_Oncostatin M",5.52201319044959,7.06167134946605,3.03766536355106,7.99449082824503,5.43575369515348
"bioplanet_983_HIV infection",5.52201319044959,6.20895198537489,1.372248786702,7.4862312816593,4.21439023064018
"GAVISH_3CA_MALIGNANT_METAPROGRAM_17_INTERFERON_MHC_II_1",5.43575369515348,6.12335372019945,3.58864942322419,7.23161787116729,5.52201319044959
"bioplanet_1006_Apoptosis",5.43575369515348,6.63599301271684,2.05721100881878,5.9519440422814,3.49795873474214
"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",5.43575369515348,6.72122894328309,1.372248786702,7.4862312816593,3.40686272261997
"bioplanet_464_Antigen processing and presentation",5.34939227464052,6.20895198537489,3.67896581763017,7.4862312816593,5.17634218757402
"GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_UNASSIGNED_2",5.26292365391609,6.55070281348857,1.95116673061752,6.80641275509185,4.03700673556826
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_3",5.26292365391609,5.52201319044959,2.94392816314568,7.23161787116729,4.91585797723938
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_METAL_RESPONSE",5.26292365391609,6.46535607667128,3.31532673359404,6.97663207260269,5.17634218757402
"bioplanet_1025_Cell cycle",5.26292365391609,6.20895198537489,2.36395730752721,6.46535607667128,3.85858448754514
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EPI4",5.17634218757402,7.06167134946605,3.58864942322419,7.40139901363103,4.65411156213159
"GAVISH_3CA_MALIGNANT_METAPROGRAM_10_PROTEIN_MATURATION",5.08964182642378,6.0376854680317,1.84267338688252,6.46535607667128,3.58864942322419
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_ANDROGEN_PROSTATE",5.08964182642378,6.20895198537489,2.26334212484057,6.97663207260269,5.26292365391609
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EPI_1",5.08964182642378,5.00281608039784,1.24029253760438,5.9519440422814,4.03700673556826
"bioplanet_1443_BDNF signaling pathway",5.08964182642378,6.46535607667128,2.36395730752721,7.90986235450636,5.08964182642378
"bioplanet_238_Cell adhesion molecules (CAMs)",5.08964182642378,5.52201319044959,3.13077459853555,6.80641275509185,4.74151411741105
"bioplanet_1438_EGFR1 pathway",5.00281608039784,5.69424583091407,3.22331192699552,6.20895198537489,3.85858448754514
"GAVISH_3CA_METAPROGRAM_B_CELLS_METABOLISM_MYC",4.91585797723938,6.29448326855961,0.763890715865263,7.23161787116729,4.3908657864606
